순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
1위,에스피오나지,Ray Yacht Parka Black,https://www.musinsa.com/app/goods/2343198?loc=goods_rank,20220207-18,남,5.1만 회 이상,5.2천 개 이상,"11,225"
2위,드로우핏,프리미어 퓨어 캐시미어 발마칸 코트 [BLACK],https://www.musinsa.com/app/goods/2098325?loc=goods_rank,DFCT1404BK,남,1천 회 이상,2천 개 이상,"4,227"
3위,로파이,오버핏 싱글 라이더스 자켓 램 레더 (블랙),https://www.musinsa.com/app/goods/1749526?loc=goods_rank,L00LOSGJK10BK1,남,2.3천 회 이상,100개 이상,"1,144"
4위,레테르코모,시티보이 브이넥 니트베스트_블랙,https://www.musinsa.com/app/goods/1958404?loc=goods_rank,TO21SS0009,남,8.8만 회 이상,7.3천 개 이상,"10,501"
5위,엄브로,DELIGHT 스텐넥 아노락 그레이카키 (UN121CWT22),https://www.musinsa.com/app/goods/2299747?loc=goods_rank,UN121CWT22_GKA,남 여,7.7천 회 이상,200개 이상,"1,262"
6위,더니트컴퍼니,[SET] 22SS 쿨맥스 위버쿨 자켓 & 쿨맥스 세미와이드핏 슬랙스,https://www.musinsa.com/app/goods/2498225?loc=goods_rank,TMJK512220,남,1만 회 이상,100개 이상,280
7위,에이징씨씨씨,램스킨 싱글 재킷 D002,https://www.musinsa.com/app/goods/1226597?loc=goods_rank,2256740,남,3천 회 이상,200개 이상,"2,522"
8위,디미트리블랙,사이드픽스 슈팅 수트셋업 블랙,https://www.musinsa.com/app/goods/2371625?loc=goods_rank,DMT015,남,4.1천 회 이상,100개 이상,328
9위,아웃스탠딩,HUNTING HOOD JACKET_BLACK,https://www.musinsa.com/app/goods/2349864?loc=goods_rank,OSTD138,남,5.5천 회 이상,300개 이상,"1,887"
10위,애드오프,META PUNCHING KNIT JUMPER BLUE,https://www.musinsa.com/app/goods/2304174?loc=goods_rank,FDQSCGK202M,여,400회 이상,,166
11위,토피,2WAY 스웻 후드 집업 (MELANGE GREY),https://www.musinsa.com/app/goods/1778404?loc=goods_rank,T1S-2WHZU03,남 여,21.2만 회 이상,14.5만 개 이상,"118,246"
12위,무신사 스탠다드,오버사이즈 블레이저 [블랙],https://www.musinsa.com/app/goods/1283757?loc=goods_rank,MMJJK101-BK,남,6.3만 회 이상,2.3만 개 이상,"33,742"
13위,어반디타입,아노락 쓰리피스 풀 셋업_블랙,https://www.musinsa.com/app/goods/1776552?loc=goods_rank,SET035,남 여,10.1만 회 이상,1.6만 개 이상,"27,935"
14위,무신사 스탠다드,베이식 블레이저 [블랙],https://www.musinsa.com/app/goods/1108007?loc=goods_rank,MIJK0002-BK,남,5.8만 회 이상,2만 개 이상,"54,640"
15위,드로우핏,오버사이즈 모즈 울 블레이저 [DARK BROWN],https://www.musinsa.com/app/goods/2315115?loc=goods_rank,DFJK2101DABR,남,5.1천 회 이상,1.2천 개 이상,"2,616"
16위,오스트카카,트위드 크롭 자켓 블랙,https://www.musinsa.com/app/goods/2398108?loc=goods_rank,946513,여,300회 이상,,22
17위,어반드레스,슬릿 니트 베스트 블랙,https://www.musinsa.com/app/goods/1996509?loc=goods_rank,21AV038,남,2.7만 회 이상,4.6천 개 이상,"6,861"
18위,아디다스,오즈트라다무스 윈드브레이커 - 그레이 / HC7140,https://www.musinsa.com/app/goods/2490070?loc=goods_rank,HC7140,남,1만 회 이상,100개 이상,635
19위,넌블랭크,[22SS]세미 오버 핏 블레이저_NAVY,https://www.musinsa.com/app/goods/2350293?loc=goods_rank,NC-BJ022002-40,남,800회 이상,50개 미만,53
20위,수아레,린넨 라이크 셋업 수트 블랙,https://www.musinsa.com/app/goods/1857629?loc=goods_rank,993029,남,3.3만 회 이상,800개 이상,"1,857"
21위,무신사 스탠다드,라이트웨이트 릴렉스드 베이식 블레이저 [블랙],https://www.musinsa.com/app/goods/2444799?loc=goods_rank,MMBJK201-BK,남,3.3천 회 이상,50개 이상,100
